Name,Column,Type,Tech,T1,T2,T3,pfee
Thorax Guardian,107,Cruiser,7,"155,811,995","135,512,411","117,131,385","5,574,100"
Thorax II Guardian,108,Cruiser,8,"187,959,900","163,325,419","141,019,583","5,601,700"
Celestis,109,Cruiser,6,"67,743,696","59,126,535","51,323,802","4,293,900"
Exequror,110,Cruiser,7,"154,950,379","134,779,544","116,515,099","5,538,600"
Vexor,111,Cruiser,5,"20,623,406","18,002,496","15,629,293","1,398,400"
Vexor Navy Issue,112,Cruiser,6,"64,632,695","56,385,900","48,918,528","4,109,200"
Thorax,113,Cruiser,6,"69,397,215","60,545,488","52,530,358","4,410,800"
Vexor Sniper,114,Cruiser,8,"198,068,177","172,661,459","149,656,383","5,777,200"
Celestis Covert Ops,115,Cruiser,7,"153,514,819","133,558,560","115,488,410","5,479,700"
Celestis II Covert Ops,116,Cruiser,9,"360,216,789","313,381,228","270,972,857","14,014,800"
Thorax Prototype,117,Cruiser,5,"20,941,081","18,280,890","15,872,119","1,443,400"
Gila,118,Cruiser,7,"1,495,483,243","1,295,361,683","1,114,157,104","27,834,400"
Cynabal,119,Cruiser,7,"1,458,161,826","1,264,023,540","1,088,236,410","27,886,200"
Ashimmu,120,Cruiser,7,"1,664,282,100","1,437,069,813","1,231,335,326","27,504,200"
Stratios,121,Cruiser,7,"1,385,026,873","1,202,173,532","1,036,604,625","26,265,200"
Orthrus,122,Cruiser,7,"1,449,794,459","1,256,730,727","1,081,916,816","26,852,700"
Phantasm,123,Cruiser,7,"1,597,291,762","1,380,474,325","1,184,152,090","26,245,800"
Vigilant,124,Cruiser,7,"1,392,614,024","1,208,505,205","1,041,799,663","26,100,200"
Ferox Guardian,125,Battlecruiser,9,"475,730,726","415,336,730","360,651,703","20,726,700"
Ferox II Guardian,126,Battlecruiser,10,"1,201,998,320","1,049,827,065","912,040,671","31,707,000"
Naga,127,Battlecruiser,8,"295,982,982","257,177,371","222,039,983","8,374,600"
Naga II,128,Battlecruiser,9,"465,515,763","406,623,799","353,298,819","20,211,300"
Drake Logistics,129,Battlecruiser,9,"485,733,078","423,868,346","367,851,610","21,231,500"
Ferox,130,Battlecruiser,7,"230,564,913","199,739,674","171,827,796","8,048,000"
Drake,131,Battlecruiser,8,"300,142,194","260,706,025","224,997,685","8,510,500"
Cyclone Guardian,132,Battlecruiser,9,"508,099,691","443,266,024","384,561,229","20,485,300"
Cyclone II Guardian,133,Battlecruiser,10,"1,099,452,234","954,792,296","823,807,525","28,211,300"
Tornado,134,Battlecruiser,8,"297,803,687","258,799,614","223,482,477","8,737,200"
Tornado II,135,Battlecruiser,9,"515,361,092","449,452,838","389,775,038","20,824,900"
Hurricane Logistics,136,Battlecruiser,9,"483,516,486","421,580,957","365,500,332","19,569,800"
Cyclone,137,Battlecruiser,7,"225,105,227","195,149,432","168,024,825","8,032,000"
Hurricane,138,Battlecruiser,8,"296,300,828","257,524,110","222,412,838","8,686,200"
Hurricane Prototype,139,Battlecruiser,7,"202,754,182","176,629,721","152,974,340","9,026,400"
Prophecy Guardian,140,Battlecruiser,9,"522,188,654","455,368,879","394,865,816","21,528,000"
Prophecy II Guardian,141,Battlecruiser,10,"1,358,968,774","1,181,393,120","1,020,603,255","30,581,900"
Oracle,142,Battlecruiser,8,"327,741,127","283,844,000","244,096,395","8,333,300"
Oracle II,143,Battlecruiser,9,"505,440,984","441,096,015","382,833,805","20,730,700"
Harbinger Logistics,144,Battlecruiser,9,"508,305,470","443,537,172","384,891,653","20,866,900"
Prophecy,145,Battlecruiser,7,"262,703,546","226,745,363","194,185,668","8,084,000"
Harbinger,146,Battlecruiser,8,"345,589,915","298,969,786","256,756,581","8,850,100"
Harbinger Prototype,147,Battlecruiser,7,"224,439,766","194,769,888","167,904,175","8,731,300"
Myrmidon Guardian,148,Battlecruiser,9,"540,973,710","470,845,802","407,346,821","20,356,600"
Myrmidon II Guardian,149,Battlecruiser,10,"1,230,816,717","1,065,651,576","916,099,355","30,215,000"
Talos,150,Battlecruiser,8,"286,160,895","248,887,421","215,137,329","8,221,700"
Talos II,151,Battlecruiser,9,"533,326,015","463,592,281","400,450,215","20,241,900"
Brutix Logistics,152,Battlecruiser,9,"516,480,118","449,254,792","388,384,023","19,514,000"
Myrmidon,153,Battlecruiser,7,"214,418,227","186,050,311","160,363,510","7,556,400"
Brutix,154,Battlecruiser,8,"296,870,596","257,975,417","222,756,916","8,579,200"
Scorpion,155,Battleship,9,"738,543,408","644,760,619","559,842,999","32,647,100"
Raven Striker,156,Battleship,10,"1,728,444,893","1,504,080,005","1,300,924,495","47,419,800"
Rokh,157,Battleship,9,"750,048,651","654,576,080","568,128,411","33,235,300"
Raven,158,Battleship,10,"1,664,871,516","1,450,154,371","1,255,734,596","45,380,800"
Maelstrom Striker,159,Battleship,10,"1,687,819,197","1,468,900,494","1,270,676,877","43,305,100"
Maelstrom,160,Battleship,9,"717,502,070","625,477,994","542,153,159","29,493,700"
Typhoon,161,Battleship,9,"737,701,140","643,430,190","558,070,882","30,213,800"
Tempest,162,Battleship,10,"1,669,189,730","1,453,107,501","1,257,452,217","42,744,000"
Armageddon,163,Battleship,9,"725,490,540","632,424,789","548,156,875","30,412,800"
Apocalypse Striker,164,Battleship,10,"1,954,904,643","1,693,839,530","1,457,452,260","45,603,800"
Apocalypse,165,Battleship,9,"716,225,146","624,527,054","541,497,510","29,965,900"
Abaddon,166,Battleship,10,"1,858,859,363","1,612,501,240","1,389,430,746","43,034,600"
Megathron Striker,167,Battleship,10,"1,858,346,151","1,612,724,085","1,390,320,466","45,576,500"
Dominix,168,Battleship,9,"782,045,966","679,846,272","587,307,131","30,090,700"
Megathron,169,Battleship,9,"776,264,420","674,924,749","583,164,335","29,837,500"
Hyperion,170,Battleship,10,"1,974,266,714","1,710,941,590","1,472,508,367","48,861,400"
Rattlesnake,171,Battleship,8,"3,937,693,647","3,419,182,187","2,949,685,998","91,493,100"
Machariel,172,Battleship,8,"4,817,817,857","4,168,769,022","3,581,074,224","100,364,400"
Bhaalgorn,173,Battleship,8,"4,960,700,100","4,295,867,152","3,693,879,228","96,781,300"
Nestor,174,Battleship,8,"4,269,556,205","3,706,346,888","3,196,379,554","93,014,700"
Barghest,175,Battleship,8,"3,948,796,413","3,428,585,630","2,957,550,756","91,793,100"
Nightmare,176,Battleship,8,"4,769,952,862","4,126,827,173","3,544,494,575","93,621,400"
Vindicator,177,Battleship,8,"4,171,238,002","3,623,118,703","3,126,814,879","90,522,500"
Tayra,178,Industrial,6,"42,198,663","36,838,307","31,984,569","2,616,600"
Badger,179,Industrial,8,"153,320,374","133,142,496","114,871,995","4,489,300"
Badger II,180,Industrial,10,"413,563,442","359,952,663","311,409,750","11,515,900"
Wreathe,181,Industrial,8,"146,275,402","127,202,806","109,933,085","4,404,600"
Mammoth,182,Industrial,6,"43,626,411","38,081,801","33,061,226","2,788,800"
Wreathe II,183,Industrial,10,"434,374,325","377,418,011","325,845,960","11,450,900"
Bestower,184,Industrial,6,"48,275,831","41,957,754","36,236,812","2,673,600"
Sigil,185,Industrial,8,"162,014,646","140,380,264","120,790,944","4,233,900"
Sigil II,186,Industrial,10,"482,222,601","417,614,593","359,113,820","11,470,100"
Kryos,187,Industrial,6,"45,814,820","40,024,776","34,781,962","2,885,100"
Nereus,188,Industrial,8,"143,454,345","124,791,851","107,893,483","4,243,600"
Nereus II,189,Industrial,10,"464,567,915","402,829,266","346,926,719","11,643,000"
Nereus High Mobility,190,Industrial,6,"28,890,055","25,149,359","21,762,205","1,565,500"
Nereus Combat,191,Industrial,7,"65,442,515","56,687,512","48,759,964","2,010,100"
Nereus Hauling,192,Industrial,8,"103,083,980","89,646,983","77,480,157","2,554,600"
Imicus High Mobility,193,Industrial,4,"634,983","567,671","506,721","96,200"
Humpback High Mobility,194,Industrial,9,"484,957,305","421,214,517","363,497,286","16,545,500"
Humpback Hauling,195,Industrial,10,"808,811,539","699,737,816","600,974,739","16,866,600"
Humpback Combat,196,Industrial,10,"826,542,101","714,739,952","613,506,365","17,288,500"
Retriever,197,Industrial,7,"99,499,034","86,731,320","75,170,311","2,931,100"
Procurer,198,Industrial,9,"224,022,286","194,853,078","168,441,124","7,297,500"
Covetor,199,Industrial,10,"549,496,484","475,765,432","409,004,114","11,624,600"
Venture,200,Industrial,4,"793,440","709,307","633,127","120,100"
Venture II,201,Industrial,5,"3,221,196","2,801,841","2,422,120","187,200"
Venture III,202,Industrial,6,"10,192,405","8,933,155","7,792,920","512,600"
MK5 Cloaking Device,203,Module,5,"4,372,908","4,045,420","3,748,882","515,100"
MK7 Cloaking Device,204,Module,7,"7,432,431","6,880,293","6,380,338","923,800"
MK9 Cloaking Device,205,Module,9,"11,500,438","10,629,264","9,840,439","1,281,500"
MK5 Covert Ops Cloaking Device,206,Module,5,"16,671,963","15,413,062","14,273,142","2,371,800"
MK7 Covert Ops Cloaking Device,207,Module,7,"30,867,934","28,559,210","26,468,688","4,326,300"
MK9 Covert Ops Cloaking Device,208,Module,9,"43,411,861","40,428,398","37,726,974","6,087,800"
MK5 Small Shield Field Module,209,Module,5,"2,898,983","2,654,222","2,432,594","261,400"
MK7 Small Shield Field Module,210,Module,7,"5,888,366","5,382,803","4,925,021","454,300"
MK9 Small Shield Field Module,211,Module,9,"8,180,207","7,520,200","6,922,584","657,700"
MK5 Medium Shield Field Module,212,Module,5,"6,271,418","5,763,252","5,303,113","683,000"
MK7 Medium Shield Field Module,213,Module,7,"11,532,932","10,657,117","9,864,076","1,283,900"
MK9 Medium Shield Field Module,214,Module,9,"17,369,761","16,027,076","14,811,319","1,856,400"
MK7 Large Shield Field Module,215,Module,7,"31,115,483","28,767,921","26,642,231","4,329,300"
MK9 Large Shield Field Module,216,Module,9,"44,284,300","41,172,245","38,354,374","6,130,800"
MK5 Small Armor Link Module,217,Module,5,"3,147,307","2,908,900","2,693,025","441,000"
MK7 Small Armor Link Module,218,Module,7,"5,734,672","5,331,271","4,965,996","756,600"
MK9 Small Armor Link Module,219,Module,9,"8,861,784","8,198,123","7,597,196","1,068,500"
MK5 Medium Armor Link Module,220,Module,5,"6,720,732","6,214,679","5,756,455","971,400"
MK7 Medium Armor Link Module,221,Module,7,"12,438,050","11,535,325","10,717,919","1,743,400"
MK9 Medium Armor Link Module,222,Module,9,"17,459,267","16,261,607","15,177,166","2,477,400"
MK7 Large Armor Link Module,223,Module,7,"29,909,940","27,691,422","25,682,580","4,080,500"
MK9 Large Armor Link Module,224,Module,9,"43,280,706","40,253,984","37,513,385","5,837,500"
MK5 Small Group Shield Booster,225,Module,5,"2,561,487","2,359,664","2,176,916","343,000"
MK7 Small Group Shield Booster,226,Module,7,"4,997,371","4,672,267","4,377,890","602,000"
MK9 Small Group Shield Booster,227,Module,9,"7,242,837","6,714,405","6,235,927","897,800"
MK5 Medium Group Shield Booster,228,Module,5,"5,159,546","4,767,806","4,413,090","755,200"
MK7 Medium Group Shield Booster,229,Module,7,"10,992,408","10,147,172","9,381,820","1,377,800"
MK9 Medium Group Shield Booster,230,Module,9,"14,306,684","13,338,929","12,462,662","2,031,200"
MK7 Large Group Shield Booster,231,Module,7,"24,921,873","23,024,198","21,305,877","3,467,700"
MK9 Large Group Shield Booster,232,Module,9,"41,160,466","38,274,791","35,661,886","5,065,500"
MK5 Small Group Armor Repairer,233,Module,5,"2,471,535","2,265,501","2,078,939","270,500"
MK7 Small Group Armor Repairer,234,Module,7,"5,008,883","4,648,938","4,323,012","473,400"
MK9 Small Group Armor Repairer,235,Module,9,"7,004,339","6,467,268","5,980,969","715,400"
MK5 Medium Group Armor Repairer,236,Module,5,"5,534,849","5,091,503","4,690,058","788,100"
MK7 Medium Group Armor Repairer,237,Module,7,"11,116,328","10,266,737","9,497,443","1,438,100"
MK9 Medium Group Armor Repairer,238,Module,9,"16,017,285","14,794,239","13,686,804","2,103,000"
MK7 Large Group Armor Repairer,239,Module,7,"24,878,416","22,837,966","20,990,364","2,884,200"
MK9 Large Group Armor Repairer,240,Module,9,"36,702,237","34,317,759","32,158,698","4,238,600"
MK5 Small Group Capacitor Transmitter,241,Module,5,"2,657,159","2,437,489","2,238,579","333,100"
MK7 Small Group Capacitor Transmitter,242,Module,7,"5,364,719","4,984,688","4,640,575","617,000"
MK9 Small Group Capacitor Transmitter,243,Module,9,"7,233,195","6,707,231","6,230,988","901,400"
MK5 Medium Group Capacitor Transmitter,244,Module,5,"4,918,783","4,544,447","4,205,489","672,900"
MK7 Medium Group Capacitor Transmitter,245,Module,7,"10,718,430","9,873,946","9,109,276","1,209,900"
MK9 Medium Group Capacitor Transmitter,246,Module,9,"15,690,202","14,426,436","13,282,135","1,740,300"
MK7 Large Group Capacitor Transmitter,247,Module,7,"22,363,150","20,776,617","19,340,031","3,084,800"
MK9 Large Group Capacitor Transmitter,248,Module,9,"37,932,492","35,424,825","33,154,201","4,525,900"
Railgun Collision Accelerator I,249,Rig,4,"33,283","33,283","33,283","11,400"
Railgun Collision Accelerator II,250,Rig,6,"77,877","77,877","77,877","20,500"
Railgun Collision Accelerator III,251,Rig,8,"266,075","266,075","266,075","41,200"
Railgun Ambit Extension I,252,Rig,4,"29,434","29,434","29,434","9,000"
Railgun Ambit Extension II,253,Rig,6,"66,783","66,783","66,783","16,700"
Railgun Ambit Extension III,254,Rig,8,"205,491","205,491","205,491","34,600"
Railgun Discharge Elutriation I,255,Rig,4,"15,679","15,679","15,679","5,100"
Railgun Discharge Elutriation II,256,Rig,6,"40,717","40,717","40,717","9,800"
Railgun Discharge Elutriation III,257,Rig,8,"123,840","123,840","123,840","21,100"
Railgun Burst Aerator I,258,Rig,4,"32,481","32,481","32,481","10,900"
Railgun Burst Aerator II,259,Rig,6,"76,594","76,594","76,594","19,700"
Railgun Burst Aerator III,260,Rig,8,"264,151","264,151","264,151","40,000"
Algid Railgun Administrations Unit I,261,Rig,4,"13,557","13,557","13,557","4,400"
Algid Railgun Administrations Unit II,262,Rig,6,"38,953","38,953","38,953","8,700"
Algid Railgun Administrations Unit III,263,Rig,8,"109,830","109,830","109,830","18,600"
Laser Collision Accelerator I,264,Rig,4,"31,679","31,679","31,679","10,400"
Laser Collision Accelerator II,265,Rig,6,"79,962","79,962","79,962","21,800"
Laser Collision Accelerator III,266,Rig,8,"279,387","279,387","279,387","49,500"
Laser Ambit Extension I,267,Rig,4,"30,877","30,877","30,877","9,900"
Laser Ambit Extension II,268,Rig,6,"75,123","75,123","75,123","21,900"
Laser Ambit Extension III,269,Rig,8,"231,953","231,953","231,953","51,100"
Laser Discharge Elutriation I,270,Rig,4,"18,726","18,726","18,726","7,000"
Laser Discharge Elutriation II,271,Rig,6,"50,500","50,500","50,500","15,900"
Laser Discharge Elutriation III,272,Rig,8,"151,104","151,104","151,104","38,100"
Laser Burst Aerator I,273,Rig,4,"31,840","31,840","31,840","10,500"
Laser Burst Aerator II,274,Rig,6,"81,085","81,085","81,085","22,500"
Laser Burst Aerator III,275,Rig,8,"282,915","282,915","282,915","51,700"
Algid Energy Administrations Unit I,276,Rig,4,"16,443","16,443","16,443","6,200"
Algid Energy Administrations Unit II,277,Rig,6,"47,934","47,934","47,934","14,300"
Algid Energy Administrations Unit III,278,Rig,8,"134,528","134,528","134,528","34,000"
Cannon Collision Accelerator I,279,Rig,4,"32,481","32,481","32,481","10,900"
Cannon Collision Accelerator II,280,Rig,6,"75,953","75,953","75,953","19,300"
Cannon Collision Accelerator III,281,Rig,8,"261,425","261,425","261,425","38,300"
Cannon Ambit Extension I,282,Rig,4,"28,632","28,632","28,632","8,500"
Cannon Ambit Extension II,283,Rig,6,"64,698","64,698","64,698","15,400"
Cannon Ambit Extension III,284,Rig,8,"200,198","200,198","200,198","31,300"
Cannon Burst Aerator I,285,Rig,4,"31,679","31,679","31,679","10,400"
Cannon Burst Aerator II,286,Rig,6,"74,509","74,509","74,509","18,400"
Cannon Burst Aerator III,287,Rig,8,"259,019","259,019","259,019","36,800"
Cannon Metastasis Adjuster I,288,Rig,4,"12,915","12,915","12,915","4,000"
Cannon Metastasis Adjuster II,289,Rig,6,"37,349","37,349","37,349","7,700"
Cannon Metastasis Adjuster III,290,Rig,8,"105,821","105,821","105,821","16,100"
Decomposer Collision Accelerator I,291,Rig,4,"61,679","61,679","61,679","10,400"
Decomposer Collision Accelerator II,292,Rig,6,"184,962","184,962","184,962","21,800"
Decomposer Collision Accelerator III,293,Rig,8,"379,387","379,387","379,387","49,500"
Decomposer Ambit Extension I,294,Rig,4,"55,877","55,877","55,877","9,900"
Decomposer Ambit Extension II,295,Rig,6,"130,123","130,123","130,123","21,900"
Decomposer Ambit Extension III,296,Rig,8,"331,953","331,953","331,953","51,100"
Decomposer Discharge Elutriation I,297,Rig,4,"36,226","36,226","36,226","7,000"
Decomposer Discharge Elutriation II,298,Rig,6,"85,500","85,500","85,500","15,900"
Decomposer Discharge Elutriation III,299,Rig,8,"211,104","211,104","211,104","38,100"
Decomposer Burst Aerator I,300,Rig,4,"61,840","61,840","61,840","10,500"
Decomposer Burst Aerator II,301,Rig,6,"186,085","186,085","186,085","22,500"
Decomposer Burst Aerator III,302,Rig,8,"382,915","382,915","382,915","51,700"
Decomposer Algid Hybrid Administrations Unit I,303,Rig,4,"34,943","34,943","34,943","6,200"
Decomposer Algid Hybrid Administrations Unit II,304,Rig,6,"77,934","77,934","77,934","14,300"
Decomposer Algid Hybrid Administrations Unit III,305,Rig,8,"204,528","204,528","204,528","34,000"
Warhead Flare Catalyst I,306,Rig,4,"29,755","29,755","29,755","9,200"
Warhead Flare Catalyst II,307,Rig,6,"59,538","59,538","59,538","15,300"
Warhead Flare Catalyst III,308,Rig,8,"196,028","196,028","196,028","28,700"
Warhead Calefaction Catalyst I,309,Rig,4,"35,047","35,047","35,047","12,500"
Warhead Calefaction Catalyst II,310,Rig,6,"78,198","78,198","78,198","20,700"
Warhead Calefaction Catalyst III,311,Rig,8,"262,226","262,226","262,226","38,800"
Warhead Rigor Catalyst I,312,Rig,4,"30,236","30,236","30,236","9,500"
Warhead Rigor Catalyst II,313,Rig,6,"65,179","65,179","65,179","15,700"
Warhead Rigor Catalyst III,314,Rig,8,"197,151","197,151","197,151","29,400"
Rocket Fuel Cache Partition I,315,Rig,4,"18,745","18,745","18,745","6,700"
Rocket Fuel Cache Partition II,316,Rig,6,"47,962","47,962","47,962","11,200"
Rocket Fuel Cache Partition III,317,Rig,8,"133,519","133,519","133,519","20,900"
Hydraulic Bay Thrusters I,318,Rig,4,"17,764","17,764","17,764","6,400"
Hydraulic Bay Thrusters II,319,Rig,6,"42,160","42,160","42,160","10,700"
Hydraulic Bay Thrusters III,320,Rig,8,"126,915","126,915","126,915","19,900"
Bay Loading Accelerator I,321,Rig,4,"34,566","34,566","34,566","12,200"
